Name, e-mail
Rt Hon Sir Edward Garnier QC MP,edward.garnier.mp@parliament.uk
Mark Garnier MP,mark.garnier.mp@parliament.uk
Mr David Gauke MP,gauked@parliament.uk
Stephen Gethins MP,stephen.gethins.mp@parliament.uk
Nusrat Ghani MP,nusrat.ghani.mp@parliament.uk
Nick Gibb MP,gibbn@parliament.uk
Patricia Gibson MP,patricia.gibson.mp@parliament.uk
Rt Hon Cheryl Gillan MP,cheryl.gillan.mp@parliament.uk
Pat Glass MP,pat.glass.mp@parliament.uk
John Glen MP,john.glen.mp@parliament.uk
Mary Glindon MP,mary.glindon.mp@parliament.uk
Mr Roger Godsiff MP,godsiffr@parliament.uk
Zac Goldsmith MP,none
Helen Goodman MP,goodmanh@parliament.uk
Mr Robert Goodwill MP,robert.goodwill.mp@parliament.uk
Rt Hon Michael Gove MP,michael.gove.mp@parliament.uk
Patrick Grady MP,patrick.grady.mp@parliament.uk
Richard Graham MP,richard.graham.mp@parliament.uk
Mrs Helen Grant MP,helen.grant.mp@parliament.uk
Peter Grant MP,peter.grant.mp@parliament.uk
James Gray MP,jamesgraymp@parliament.uk
Neil Gray MP,neil.gray.mp@parliament.uk
Rt Hon Chris Grayling MP,chris.grayling.mp@parliament.uk
Chris Green MP,chris.green.mp@parliament.uk
Rt Hon Damian Green MP,damian.green.mp@parliament.uk
Kate Green MP,kate.green.mp@parliament.uk
Rt Hon Justine Greening MP,greeningj@parliament.uk
Lilian Greenwood MP,lilian.greenwood.mp@parliament.uk
Margaret Greenwood MP,margaret.greenwood.mp@parliament.uk
Rt Hon Dominic Grieve QC MP,dominic.grieve.mp@parliament.uk
Nia Griffith MP,nia.griffith.mp@parliament.uk
Andrew Griffiths MP,andrew.griffiths.mp@parliament.uk
Ben Gummer MP,ben.gummer.mp@parliament.uk
Andrew Gwynne MP,gwynnea@parliament.uk
Mr Sam Gyimah MP,sam@samgyimah.com
Louise Haigh MP,louise.haigh.mp@parliament.uk
Rt Hon Robert Halfon MP,none
Luke Hall MP,luke.hall.mp@parliament.uk
Fabian Hamilton MP,fabian.hamilton.mp@parliament.uk
Rt Hon Philip Hammond MP,hammondp@parliament.uk
Stephen Hammond MP,stephen.hammond.mp@parliament.uk
Rt Hon Matthew Hancock MP,matthew.hancock.mp@parliament.uk
Rt Hon Greg Hands MP,handsg@parliament.uk
Rt Hon David Hanson MP,david.hanson.mp@parliament.uk
Rt Hon Harriet Harman QC MP,harriet.harman.mp@parliament.uk
Rt Hon Mark Harper MP,mark.harper.mp@parliament.uk
Richard Harrington MP,richard.harrington.mp@parliament.uk
Carolyn Harris MP,carolyn.harris.mp@parliament.uk
Rebecca Harris MP,rebecca.harris.mp@parliament.uk
Simon Hart MP,simon.hart.mp@parliament.uk
Rt Hon Sir Alan Haselhurst MP,alan.haselhurst.mp@parliament.uk
Helen Hayes MP,helen.hayes.mp@parliament.uk
Rt Hon John Hayes MP,hayesj@parliament.uk
Sue Hayman MP,sue.hayman.mp@parliament.uk
Sir Oliver Heald QC MP,Oliver.heald.mp@parliament.uk
Rt Hon John Healey MP,john.healey.mp@parliament.uk
James Heappey MP,james.heappey.mp@parliament.uk
Chris Heaton-Harris MP,chris.heatonharris.mp@parliament.uk
Peter Heaton-Jones MP,peter.heatonjones.mp@parliament.uk
Gordon Henderson MP,gordon.henderson.mp@parliament.uk
Mr Mark Hendrick MP,mark.hendrick.mp@parliament.uk
Drew Hendry MP,drew.hendry.mp@parliament.uk
Mr Stephen Hepburn MP,hepburns@parliament.uk
Rt Hon Nick Herbert MP,herbertn@parliament.uk
Lady Hermon MP,sylvia.hermon.mp@parliament.uk
Meg Hillier MP,meghilliermp@parliament.uk
Damian Hinds MP,damian.hinds.mp@parliament.uk
Simon Hoare MP,simon.hoare.mp@parliament.uk
Rt Hon Dame Margaret Hodge MP,hodgem@parliament.uk
Mrs Sharon Hodgson MP,sharon.hodgson.mp@parliament.uk
Kate Hoey MP,hoeyk@parliament.uk
Kate Hollern MP,kate.hollern.mp@parliament.uk
George Hollingbery MP,george.hollingbery.mp@parliament.uk
Kevin Hollinrake MP,kevin.hollinrake.mp@parliament.uk
Mr Philip Hollobone MP,philip.hollobone.mp@parliament.uk
Adam Holloway MP,hollowaya@parliament.uk
Kelvin Hopkins MP,hopkinsk@parliament.uk
Kris Hopkins MP,kris.hopkins.mp@parliament.uk
Stewart Hosie MP,hosies@parliament.uk
Rt Hon George Howarth MP,george.howarth.mp@parliament.uk
Sir Gerald Howarth MP,geraldhowarth@parliament.uk
John Howell MP,howelljm@parliament.uk
Ben Howlett MP,ben.howlett.mp@parliament.uk
Rt Hon Lindsay Hoyle MP,Lindsay.hoyle.mp@parliament.uk
Nigel Huddleston MP,nigel.huddleston.mp@parliament.uk
Rt Hon Jeremy Hunt MP,huntj@parliament.uk
Tristram Hunt MP,tristram.hunt.mp@parliament.uk
Dr Rupa Huq MP,rupa.huq.mp@parliament.uk
Mr Nick Hurd MP,nick.hurd.mp@parliament.uk
Imran Hussain MP,imran.hussain.mp@parliament.uk
Mr Stewart Jackson MP,stewart.jackson.mp@parliament.uk
Margot James MP,margot.james.mp@parliament.uk
Dan Jarvis MP,dan.jarvis.mp@parliament.uk
Rt Hon Sajid Javid MP,sajid.javid.mp@parliament.uk
Mr Ranil Jayawardena MP,Ranil@TellRanil.com
Mr Bernard Jenkin MP,bernard.jenkin.mp@parliament.uk
Andrea Jenkyns MP,andrea.jenkyns.mp@parliament.uk
Robert Jenrick MP,none
Rt Hon Alan Johnson MP,johnsona@parliament.uk
Boris Johnson MP,boris.johnson.mp@parliament.uk
Diana Johnson MP,johnsond@parliament.uk
Gareth Johnson MP,gareth.johnson.mp@parliament.uk
Joseph Johnson MP,jo.johnson.mp@parliament.uk
Andrew Jones MP,andrew.jones.mp@parliament.uk
Rt Hon David Jones MP,officeofdavidjonesmp@parliament.uk
Gerald Jones MP,gerald.jones.mp@parliament.uk
Graham Jones MP,graham.jones.mp@parliament.uk
Helen Jones MP,jonesh@parliament.uk
Mr Kevan Jones MP,kevanjonesmp@parliament.uk
Mr Marcus Jones MP,marcus.jones.mp@parliament.uk
Susan Elan Jones MP,susan.jones.mp@parliament.uk
Mike Kane MP,mike.kane.mp@parliament.uk
Rt Hon Sir Gerald Kaufman MP,kaufmang@parliament.uk
Daniel Kawczynski MP,kawczynskid@parliament.uk
Barbara Keeley MP,none
Liz Kendall MP,liz.kendall.mp@parliament.uk
Seema Kennedy MP,seema.kennedy.mp@parliament.uk
George Kerevan MP,george.kerevan.mp@parliament.uk
Calum Kerr MP,calum.kerr.mp@parliament.uk
Danny Kinahan MP,danny.kinahan.mp@parliament.uk
Stephen Kinnock MP,stephen.kinnock.mp@parliament.uk
Simon Kirby MP,simon.kirby.mp@parliament.uk
Rt Hon Sir Greg Knight MP,sothcottt@parliament.uk
Julian Knight MP,julian.knight.mp@parliament.uk
Kwasi Kwarteng MP,kwasi.kwarteng.mp@parliament.uk
Peter Kyle MP,peter.kyle.mp@parliament.uk
Mrs Eleanor Laing MP,eleanor.laing.mp@parliament.uk
Rt Hon Norman Lamb MP,norman.lamb.mp@parliament.uk
Rt Hon David Lammy MP,lammyd@parliament.uk
Mark Lancaster MP,officeofmarklancaster@parliament.uk
Pauline Latham MP,pauline.latham.mp@parliament.uk
Ian Lavery MP,ian.lavery.mp@parliament.uk
Chris Law MP,chris.law.mp@parliament.uk
Andrea Leadsom MP,andrea.leadsom.mp@parliament.uk
Dr Phillip Lee MP,phillip.lee.mp@parliament.uk
Jeremy Lefroy MP,jeremy.lefroy.mp@parliament.uk
Sir Edward Leigh MP,edward.leigh.mp@parliament.uk
Charlotte Leslie MP,charlotte.leslie.mp@parliament.uk
Chris Leslie MP,chris.leslie@parliament.uk
Rt Hon Oliver Letwin MP,letwino@parliament.uk
Mrs Emma Lewell-Buck MP,emma.lewell-buck.mp@parliament.uk
Brandon Lewis MP,helen.hill@parliament.uk
Clive Lewis MP,clive.lewis.mp@parliament.uk
Mr Ivan Lewis MP,lewisi@parliament.uk
Rt Hon Dr Julian Lewis MP,none
Mr Ian Liddell-Grainger MP,ianlg@parliament.uk
Rt Hon David Lidington MP,david.lidington.mp@parliament.uk
Rt Hon Peter Lilley MP,lilleyp@parliament.uk
Rebecca Long Bailey MP,rebecca.longbailey.mp@parliament.uk
Jack Lopresti MP,jack.lopresti.mp@parliament.uk
Mr Jonathan Lord MP,jonathan.lord.mp@parliament.uk
Tim Loughton MP,loughtont@parliament.uk
Caroline Lucas MP,caroline.lucas.mp@parliament.uk
Ian C. Lucas MP,lucasi@parliament.uk
Karen Lumley MP,karen.lumley.mp@parliament.uk
Holly Lynch MP,holly.lynch.mp@parliament.uk
John Mc Nally MP,john.mcnally.mp@parliament.uk
Steve McCabe MP,mccabes@parliament.uk
Callum McCaig MP,callum.mccaig.mp@parliament.uk
Kerry McCarthy MP,kerry.mccarthy.mp@parliament.uk
Jason McCartney MP,jason.mccartney.mp@parliament.uk
Karl McCartney MP,karl.mccartney.mp@parliament.uk
Siobhain McDonagh MP,mcdonaghs@parliament.uk
Andy McDonald MP,info@andymcdonaldmp.org
Stewart Malcolm McDonald MP,stewart.mcdonald.mp@parliament.uk
Stuart C. McDonald MP,stuart.mcdonald.mp@parliament.uk
Dr Alasdair McDonnell MP,alasdair.mcdonnell.mp@parliament.uk
John McDonnell MP,mcdonnellj@parliament.uk
Rt Hon Pat McFadden MP,mcfaddenp@parliament.uk
Natalie McGarry MP,natalie.mcgarry.mp@parliament.uk
Conor McGinn MP,conor.mcginn.mp@parliament.uk
Alison McGovern MP,alison.mcgovern.mp@parliament.uk
Liz McInnes MP,none
Craig Mackinlay MP,craig.mackinlay.mp@parliament.uk
Catherine McKinnell MP,catherine.mckinnell.mp@parliament.uk
David Mackintosh MP,david.mackintosh.mp@parliament.uk
Anne McLaughlin MP,anne.mclaughlin.mp@parliament.uk
Rt Hon Patrick McLoughlin MP,patrick.mcloughlin.mp@parliament.uk
Jim McMahon MP,jim.mcmahon.mp@parliament.uk
Angus Brendan MacNeil MP,macneila@parliament.uk
Stephen McPartland MP,stephen.mcpartland.mp@parliament.uk
Rt Hon Fiona Mactaggart MP,mactaggartf@parliament.uk
Justin Madders MP,justin.madders.mp@parliament.uk
Mr Khalid Mahmood MP,mahmoodk@parliament.uk
Shabana Mahmood MP,shabana.mahmood.mp@parliament.uk
Mrs Anne Main MP,maina@parliament.uk
Mr Alan Mak MP,alan.mak.mp@parliament.uk
Seema Malhotra MP,seema.malhotra.mp@parliament.uk
Kit Malthouse MP,kit.malthouse.mp@parliament.uk
John Mann MP,john.mann.mp@parliament.uk
Scott Mann MP,scott.mann.mp@parliament.uk
Rob Marris MP,rob.marris.mp@parliament.uk
Gordon Marsden MP,gordonmarsdenmp@parliament.uk
Rachael Maskell MP,rachael.maskell.mp@parliament.uk
Paul Maskey MP,mailto:paul.maskey.mp@parliament.uk
Christian Matheson MP,chris.matheson.mp@parliament.uk
Dr Tania Mathias MP,drtania.mathias.mp@parliament.uk
Rt Hon Theresa May MP,mayt@parliament.uk
Paul Maynard MP,paul.maynard.mp@parliament.uk
Sir Alan Meale MP,mealea@parliament.uk
Ian Mearns MP,ian.mearns.mp@parliament.uk
Mark Menzies MP,mark.menzies.mp@parliament.uk
Johnny Mercer MP,johnny.mercer.mp@parliament.uk
Huw Merriman MP,huw.merriman.mp@parliament.uk
Stephen Metcalfe MP,stephen.metcalfe.mp@parliament.uk
Rt Hon Edward Miliband MP,ed.miliband.mp@parliament.uk
Rt Hon Maria Miller MP,maria.miller.mp@parliament.uk
Amanda Milling MP,amanda.milling.mp@parliament.uk
Nigel Mills MP,nigel.mills.mp@parliament.uk
Rt Hon Anne Milton MP,anne.milton.mp@parliament.uk
Rt Hon Andrew Mitchell MP,andrew.mitchell.mp@parliament.uk
Francie Molloy MP,none
Carol Monaghan MP,carol.monaghan.mp@parliament.uk
Dr Paul Monaghan MP,paul.monaghan.mp@parliament.uk
Mrs Madeleine Moon MP,moonm@parliament.uk
Penny Mordaunt MP,penny.mordaunt.mp@parliament.uk
Jessica Morden MP,mordenj@parliament.uk
Rt Hon Nicky Morgan MP,nicky.morgan.mp@parliament.uk
Anne Marie Morris MP,annemarie.morris.mp@parliament.uk
David Morris MP,david.morris.mp@parliament.uk
Grahame Morris MP,grahame.morris.mp@parliament.uk
James Morris MP,james.morris.mp@parliament.uk
Wendy Morton MP,wendy.morton.mp@parliament.uk
David Mowat MP,david.mowat.mp@parliament.uk
Greg Mulholland MP,greg.mulholland.mp@parliament.uk
Roger Mullin MP,roger.mullin.mp@parliament.uk
Rt Hon David Mundell MP,david.mundell.mp@parliament.uk
Ian Murray MP,ian.murray.mp@parliament.uk
Mrs Sheryll Murray MP,sheryll.murray.mp@parliament.uk
Dr Andrew Murrison MP,murrisona@parliament.uk
Lisa Nandy MP,lisa.nandy.mp@parliament.uk
Robert Neill MP,bob.neill.mp@parliament.uk
Gavin Newlands MP,gavin.newlands.mp@parliament.uk
Sarah Newton MP,sarah.newton.mp@parliament.uk
John Nicolson MP,john.nicolson.mp@parliament.uk
Caroline Nokes MP,caroline.nokes.mp@parliament.uk
Jesse Norman MP,jesse.norman.mp@parliament.uk
Mr David Nuttall MP,david.nuttall.mp@parliament.uk
Dr Matthew Offord MP,matthew.offord.mp@parliament.uk
Brendan O'Hara MP,brendan.ohara.mp@parliament.uk
Melanie Onn MP,melanie.onn.mp@parliament.uk
Chi Onwurah MP,chi.onwurah.mp@parliament.uk
Guy Opperman MP,guy.opperman.mp@parliament.uk
Kate Osamor MP,kate.osamor.mp@parliament.uk
Rt Hon George Osborne MP,george.osborne.mp@parliament.uk
Kirsten Oswald MP,kirsten.oswald.mp@parliament.uk
Albert Owen MP,albert.owen.mp@parliament.uk
Ian Paisley MP,ian.paisley.mp@parliament.uk
Neil Parish MP,neil.parish.mp@parliament.uk
Rt Hon Priti Patel MP,priti.patel.mp@parliament.uk
Rt Hon Owen Paterson MP,Patersono@parliament.uk
Steven Paterson MP,steven.paterson.mp@parliament.uk
Mark Pawsey MP,mark.pawsey.mp@parliament.uk
Teresa Pearce MP,teresa.pearce.mp@parliament.uk
Rt Hon Mike Penning MP,penningm@parliament.uk
Matthew Pennycook MP,matthew.pennycook.mp@parliament.uk
John Penrose MP,beauperec@parliament.uk
Andrew Percy MP,andrew.percy.mp@parliament.uk
Toby Perkins MP,toby.perkins.mp@parliament.uk
Claire Perry MP,claire.perry.mp@parliament.uk
Jess Phillips MP,jess.phillips.mp@parliament.uk
Stephen Phillips QC MP,stephen.phillips.mp@parliament.uk
Bridget Phillipson MP,bridget.phillipson.mp@parliament.uk
Chris Philp MP,chris.philp.mp@parliament.uk
Rt Hon Sir Eric Pickles MP,picklese@parliament.uk
Christopher Pincher MP,christopher.pincher.mp@parliament.uk
Dr Poulter MP,daniel.poulter.mp@parliament.uk
Stephen Pound MP,stevepoundmp@parliament.uk
Rebecca Pow MP,rebecca.pow.mp@parliament.uk
Lucy Powell MP,contact@lucypowell.org.uk
Victoria Prentis MP,victoria.prentis.mp@parliament.uk
Mr Mark Prisk MP,natalie.bithell@parliament.uk
Mark Pritchard MP,pritchardm@parliament.uk
John Pugh MP,pughj@parliament.uk
Tom Pursglove MP,tom.pursglove.mp@parliament.uk
Jeremy Quin MP,jeremy.quin.mp@parliament.uk
Will Quince MP,will.quince.mp@parliament.uk
Yasmin Qureshi MP,yasmin.qureshi.mp@parliament.uk
Dominic Raab MP,dominic.raab.mp@parliament.uk
Angela Rayner MP,angela.rayner.mp@parliament.uk
Rt Hon John Redwood MP,john.redwood.mp@parliament.uk
Mr Jamie Reed MP,reedjr@parliament.uk
Mr Steve Reed MP,steve.reed.mp@parliament.uk
Christina Rees MP,christina.rees.mp@parliament.uk
